simulation_time,queue_length,completed_orders
35.46637943915407,1,4
35.46637943915407,0,5
40.574726955797026,1,5
40.574726955797026,0,6
90.00988877712253,1,17
90.00988877712253,0,18
90.8064376567813,1,18
90.8064376567813,0,19
110.62006225628218,1,20
110.62006225628218,0,21
135.76811490503727,1,24
135.76811490503727,0,25
265.30905901795256,1,42
265.30905901795256,0,43
310.0247505556629,1,48
310.0247505556629,0,49
330.49328953462935,1,50
330.49328953462935,0,51
355.2380424279187,1,53
355.2380424279187,0,54
375.8099834654268,1,57
375.8099834654268,0,58
415.3219870230313,1,62
415.3219870230313,0,63
440.33838855941553,1,68
440.33838855941553,0,69
465.5634547285463,1,72
465.5634547285463,0,73
470.93105132541973,1,73
470.93105132541973,0,74
