simulation_time,queue_length,completed_orders
40.666357561036946,1,7
40.666357561036946,0,8
55.05542312277644,1,11
55.05542312277644,0,12
100.31145782295933,1,15
100.31145782295933,0,16
215.00351288046858,1,28
215.00351288046858,0,29
245.9825945467091,1,31
245.9825945467091,0,32
280.8890966178544,1,37
280.8890966178544,0,38
305.676465693616,1,44
305.676465693616,0,45
345.6141960715831,1,50
345.6141960715831,0,51
395.31699586753234,1,59
395.31699586753234,0,60
450.79562537404234,1,64
450.79562537404234,0,65
455.32441671934566,1,68
455.32441671934566,0,69
480.247390611418,1,71
