simulation_time,queue_length,completed_orders
40.62871437490334,1,2
40.62871437490334,0,3
65.50247478421136,1,6
65.50247478421136,0,7
75.80460970302306,1,8
75.80460970302306,0,9
100.13867523954067,1,14
100.13867523954067,0,15
110.56351458647985,1,18
110.56351458647985,0,19
110.60736940779286,1,19
110.60736940779286,0,20
170.36932093594902,1,27
170.36932093594902,0,28
230.8494315131227,1,32
230.8494315131227,0,33
235.40792111171632,1,35
235.40792111171632,0,36
250.56854253917362,1,37
250.56854253917362,0,38
270.0907090039533,1,39
270.0907090039533,0,40
325.94455546164653,1,47
325.94455546164653,0,48
340.15601725359096,1,49
340.15601725359096,0,50
365.91750758635453,1,51
365.91750758635453,0,52
445.1669926221472,1,61
445.1669926221472,0,62
455.84109856164997,1,64
455.84109856164997,0,65
465.4474386006417,1,66
465.4474386006417,0,67
465.8150294679607,1,67
465.8150294679607,0,68
