simulation_time,queue_length,completed_orders
0.6380192924712059,1,0
0.6380192924712059,0,1
35.414229544700035,1,10
35.414229544700035,0,11
45.970635570843385,1,13
45.970635570843385,0,14
105.16956159877559,1,23
105.16956159877559,0,24
120.01691542295461,1,24
120.01691542295461,0,25
140.97381004524823,1,26
140.97381004524823,0,27
155.7379858532442,1,27
155.7379858532442,0,28
205.32175061258482,1,36
205.32175061258482,0,37
265.77977081578126,1,47
265.77977081578126,0,48
300.60779586572346,1,52
300.60779586572346,0,53
300.69687483842773,1,53
300.69687483842773,0,54
315.3177381615255,1,56
315.3177381615255,0,57
325.6615665522622,1,58
325.6615665522622,0,59
375.5112042462696,1,67
375.5112042462696,0,68
405.7839561157311,1,76
405.7839561157311,0,77
460.4147088350449,1,81
460.4147088350449,0,82
465.4387689036514,1,82
465.4387689036514,0,83
