simulation_time,queue_length,completed_orders
0.8082389388025105,1,0
0.8082389388025105,0,1
15.470650767147536,1,2
15.470650767147536,0,3
80.42738226258493,1,13
80.42738226258493,0,14
90.02592383516001,1,17
90.02592383516001,0,18
115.88171455952147,1,20
115.88171455952147,0,21
120.31487461674945,1,24
120.31487461674945,0,25
125.47315719828173,1,25
125.47315719828173,0,26
125.56267229850077,1,26
125.56267229850077,0,27
130.06117452375435,1,28
130.06117452375435,0,29
165.01484314753966,1,30
165.01484314753966,0,31
250.56075878083368,1,43
250.56075878083368,0,44
265.17772781109727,1,47
265.17772781109727,0,48
285.03754278909645,1,49
285.03754278909645,0,50
410.00371328437615,1,60
410.00371328437615,0,61
445.6574013335761,1,69
445.6574013335761,0,70
