simulation_time,queue_length,completed_orders
15.249729086111838,1,2
15.249729086111838,0,3
30.085033100760448,1,4
30.085033100760448,0,5
30.156699272626856,1,5
30.156699272626856,0,6
60.11728603351454,1,9
60.11728603351454,0,10
165.78882328467478,1,21
165.78882328467478,0,22
180.42831076108638,1,26
180.42831076108638,0,27
180.70141386549324,1,27
180.70141386549324,0,28
250.1122721819175,1,42
250.1122721819175,0,43
255.15979044124353,1,44
255.15979044124353,0,45
275.05002667063377,1,48
275.05002667063377,0,49
330.8417998282804,1,61
330.8417998282804,0,62
335.706505318958,1,62
335.706505318958,0,63
375.5850671212532,1,70
375.5850671212532,0,71
385.9922703373428,1,73
385.9922703373428,0,74
435.5095393986737,1,77
435.5095393986737,0,78
480.5198087820335,1,84
