simulation_time,queue_length,completed_orders
20.062610006285144,1,4
20.062610006285144,0,5
30.625679133893605,1,5
30.625679133893605,0,6
115.51210484307697,1,22
115.51210484307697,0,23
145.69995391231134,1,27
145.69995391231134,0,28
185.1151370312964,1,32
185.1151370312964,0,33
190.13451239511883,1,33
190.13451239511883,0,34
195.76559429135253,1,35
195.76559429135253,0,36
205.03857850747144,1,40
205.03857850747144,0,41
205.126496292474,1,41
205.126496292474,0,42
210.1864246394445,1,42
210.1864246394445,0,43
285.45382748292974,1,48
285.45382748292974,0,49
290.5368104424783,1,50
290.5368104424783,0,51
335.59081877509493,1,56
335.59081877509493,0,57
340.7103052787646,1,58
340.7103052787646,0,59
360.7743139082811,1,61
360.7743139082811,0,62
365.06536818448245,1,64
365.06536818448245,0,65
405.28998465441947,1,71
405.28998465441947,0,72
410.2872636900198,1,72
410.2872636900198,0,73
425.5633135236877,1,75
425.5633135236877,0,76
470.5907432905732,1,83
470.5907432905732,0,84
475.61245062595583,1,86
475.61245062595583,0,87
