simulation_time,queue_length,completed_orders
15.962031066461948,1,2
15.962031066461948,0,3
25.754277404984077,1,4
25.754277404984077,0,5
100.81134113438655,1,15
100.81134113438655,0,16
105.49557073321286,1,16
105.49557073321286,0,17
245.40754480012245,1,36
245.40754480012245,0,37
255.9431975316504,1,38
255.9431975316504,0,39
290.56083265651955,1,45
290.56083265651955,0,46
360.4929086787126,1,60
360.4929086787126,0,61
360.7063901375391,1,61
360.7063901375391,0,62
380.3121990792195,1,68
380.3121990792195,0,69
385.3337370514675,1,71
385.3337370514675,0,72
400.38631125680456,1,72
400.38631125680456,0,73
420.19653027809954,1,75
420.19653027809954,0,76
440.70127021677536,1,79
440.70127021677536,0,80
