simulation_time,queue_length,completed_orders
80.3893960082794,1,8
80.3893960082794,0,9
105.78687723133788,1,13
105.78687723133788,0,14
125.5294830309504,1,17
125.5294830309504,0,18
145.67855209296886,1,22
145.67855209296886,0,23
225.2786369452542,1,34
225.2786369452542,0,35
275.08464245727686,1,38
275.08464245727686,0,39
280.1804317851891,1,39
280.1804317851891,0,40
295.959194194028,1,44
295.959194194028,0,45
320.4832944456604,1,46
320.4832944456604,0,47
360.52098764603,1,49
360.52098764603,0,50
375.36027858192244,1,51
375.36027858192244,0,52
380.2170207667499,1,53
380.2170207667499,0,54
390.40344253906005,1,56
390.40344253906005,0,57
445.43450222548677,1,67
445.43450222548677,0,68
